Sales ID,Count,Open Date,Year,Month,Month Order,Days to Make Sale,Car ID,Dealer ID,Temperature (F),Temperature Category,Weather Condition,Humidity (%),Wind Speed (mph),Wind Gust (mph),Wind Direction,Visibility (mi),Wind Chill (F),Precipitation (in),Fog (Y/N),Rain (Y/N),Snow (Y/N)
602513,1,31-Dec-2025,2025,Dec,12,21,132120,1222,39,31-40,Scattered Clouds,93,6.9,,WNW,8,34,0,N,N,N
602510,1,31-Dec-2025,2025,Dec,12,1,99110,1224,39,31-40,Scattered Clouds,93,6.9,,WNW,8,34,0,N,N,N
602511,1,31-Dec-2025,2025,Dec,12,1,87110,1215,,,Clear,,,,,7,,0,N,N,N
602512,1,31-Dec-2025,2025,Dec,12,2,99110,1217,36,31-40,Clear,100,10.4,,WNW,7,28.5,0,N,N,N
602509,1,31-Dec-2025,2025,Dec,12,4,99110,1217,36,31-40,Clear,100,10.4,,WNW,7,28.5,0,N,N,N
602508,1,31-Dec-2025,2025,Dec,12,1,26151,1402,,,Clear,,,,,7,,0,N,N,N
602507,1,31-Dec-2025,2025,Dec,12,2,99110,1402,39,31-40,Scattered Clouds,93,6.9,,WNW,8,34,0,N,N,N
602505,1,31-Dec-2025,2025,Dec,12,1,99110,1288,36,31-40,Clear,100,10.4,,WNW,7,28.5,0,N,N,N
602506,1,31-Dec-2025,2025,Dec,12,2,87110,1402,,,Clear,,,,,7,,0,N,N,N
602504,1,31-Dec-2025,2025,Dec,12,1,99110,1288,36,31-40,Clear,100,10.4,,WNW,7,28.5,0,N,N,N
602503,1,31-Dec-2025,2025,Dec,12,1,87110,1401,36,31-40,Scattered Clouds,100,4.6,,WNW,7,32.1,0,N,N,N
602502,1,31-Dec-2025,2025,Dec,12,2,99110,1224,34,31-40,Clear,100,11.5,,NW,7,25.5,0,N,N,N
602501,1,31-Dec-2025,2025,Dec,12,5,99110,1224,34,31-40,Clear,100,11.5,,NW,7,25.5,0,N,N,N
602500,1,31-Dec-2025,2025,Dec,12,2,99110,1288,,,Clear,,,,,7,,0,N,N,N
602499,1,31-Dec-2025,2025,Dec,12,7,99110,1402,37.4,31-40,Overcast,100,3.5,,NW,9,34.9,0,N,N,N
602498,1,31-Dec-2025,2025,Dec,12,4,147160,1288,36,31-40,Overcast,100,4.6,,West,1.5,32.1,0,N,N,N
602497,1,31-Dec-2025,2025,Dec,12,1,99110,1215,,,Clear,,,,,7,,0,N,N,N
602496,1,31-Dec-2025,2025,Dec,12,5,99110,1288,,,Clear,,,,,7,,0,N,N,N
602495,1,31-Dec-2025,2025,Dec,12,4,99110,1215,,,Clear,,,,,7,,0,N,N,N
602494,1,31-Dec-2025,2025,Dec,12,1,87110,1288,34,31-40,Clear,100,12.7,,NNW,7,25,0,N,N,N
602493,1,31-Dec-2025,2025,Dec,12,1,132120,1224,34,31-40,Clear,100,12.7,,NNW,7,25,0,N,N,N
602492,1,31-Dec-2025,2025,Dec,12,1,99110,1301,,,Clear,,,,,7,,0,N,N,N
602491,1,31-Dec-2025,2025,Dec,12,1,99110,1224,,,Clear,,,,,7,,0,N,N,N
602490,1,31-Dec-2025,2025,Dec,12,1,99110,1336,,,Clear,,,,,7,,0,N,N,N
602489,1,31-Dec-2025,2025,Dec,12,1,147160,1222,,,Clear,,,,,7,,0,N,N,N
602488,1,31-Dec-2025,2025,Dec,12,1,99110,1222,,,Clear,,,,,7,,0,N,N,N
602487,1,30-Dec-2025,2025,Dec,12,1,99110,1212,34,31-40,Overcast,92,5.8,,WNW,1,28.8,0,N,N,N
602486,1,30-Dec-2025,2025,Dec,12,2,87110,1401,,,Clear,,,,,7,,0,N,N,N
602485,1,30-Dec-2025,2025,Dec,12,1,99110,1217,32,31-40,Clear,100,11.5,,ESE,7,23,0,N,N,N
602484,1,30-Dec-2025,2025,Dec,12,1,87110,1336,,,Clear,,,,,7,,0,N,N,N
602483,1,30-Dec-2025,2025,Dec,12,1,87110,1402,36,31-40,Overcast,100,0,,North,1.5,,0,N,N,N
602482,1,30-Dec-2025,2025,Dec,12,1,132120,1224,36,31-40,Overcast,93,6.9,,ESE,1.5,30.3,0,N,N,N
602481,1,30-Dec-2025,2025,Dec,12,6,99110,1224,30.9,31-40,Clear,96,8.1,,ESE,7,23.5,0,N,N,N
602480,1,30-Dec-2025,2025,Dec,12,1,99110,1301,35.6,31-40,Overcast,93,6.9,,ESE,1.5,29.9,0,N,N,N
602479,1,30-Dec-2025,2025,Dec,12,1,99110,1217,,,Clear,,,,,7,,0,N,N,N
602478,1,30-Dec-2025,2025,Dec,12,1,87110,1336,33.1,31-40,Overcast,92,3.5,,East,2,30,0,N,N,N
602477,1,30-Dec-2025,2025,Dec,12,1,87110,1336,30,21-30,Overcast,96,3.5,,East,2,26.5,0,N,N,N
602476,1,30-Dec-2025,2025,Dec,12,1,99110,1224,28,21-30,Clear,100,11.5,,East,7,18.1,0,N,N,N
602475,1,30-Dec-2025,2025,Dec,12,1,99110,1402,30,21-30,Overcast,96,3.5,,East,2,26.5,0,N,N,N
602474,1,30-Dec-2025,2025,Dec,12,8,99110,1402,30,21-30,Overcast,96,3.5,,East,2,26.5,0,N,N,N
602473,1,30-Dec-2025,2025,Dec,12,1,26151,1224,30,21-30,Overcast,92,3.5,,North,2,26.5,0,N,N,N
602472,1,30-Dec-2025,2025,Dec,12,5,99110,1401,30.2,31-40,Overcast,93,3.5,,North,2,26.7,0,N,N,N
602471,1,30-Dec-2025,2025,Dec,12,1,26151,1402,30.2,31-40,Overcast,93,3.5,,North,2,26.7,0,N,N,N
602470,1,30-Dec-2025,2025,Dec,12,3,99110,1288,28,21-30,Clear,96,0,,North,7,,0,N,N,N
602469,1,30-Dec-2025,2025,Dec,12,2,99110,1402,30.2,31-40,Overcast,93,3.5,,North,2,26.7,0,N,N,N
602468,1,30-Dec-2025,2025,Dec,12,1,99110,1402,30.2,31-40,Overcast,93,3.5,,North,2,26.7,0,N,N,N
602467,1,30-Dec-2025,2025,Dec,12,2,99110,1401,30.2,31-40,Overcast,93,3.5,,North,2,26.7,0,N,N,N
602466,1,30-Dec-2025,2025,Dec,12,2,99110,1401,,,Clear,,,,,7,,0,N,N,N
602465,1,30-Dec-2025,2025,Dec,12,7,99110,1301,,,Clear,,,,,7,,0,N,N,N
602464,1,30-Dec-2025,2025,Dec,12,1,99110,1402,30,21-30,Overcast,88,4.6,,NW,3,25.2,0,N,N,N
602462,1,30-Dec-2025,2025,Dec,12,5,99110,1301,27,21-30,Clear,100,0,,North,7,,0,N,N,N
602463,1,30-Dec-2025,2025,Dec,12,3,87110,1401,,,Clear,,,,,7,,0,N,N,N
602461,1,30-Dec-2025,2025,Dec,12,1,26151,1217,27,21-30,Clear,100,0,,North,7,,0,N,N,N
602460,1,30-Dec-2025,2025,Dec,12,1,99110,1401,30,21-30,Overcast,88,4.6,,NW,3,25.2,0,N,N,N
602459,1,30-Dec-2025,2025,Dec,12,1,132120,1224,30,21-30,Overcast,88,4.6,,NW,3,25.2,0,N,N,N
602458,1,30-Dec-2025,2025,Dec,12,5,132120,1288,27,21-30,Clear,100,0,,North,7,,0,N,N,N
602457,1,30-Dec-2025,2025,Dec,12,29,99110,1288,27,21-30,Clear,100,0,,North,7,,0,N,N,N
602456,1,30-Dec-2025,2025,Dec,12,1,99110,1288,27,21-30,Clear,100,0,,North,7,,0,N,N,N
602455,1,30-Dec-2025,2025,Dec,12,7,99110,1288,27,21-30,Clear,100,0,,North,7,,0,N,N,N
602454,1,30-Dec-2025,2025,Dec,12,1,99110,1402,30,21-30,Overcast,88,4.6,,NW,3,25.2,0,N,N,N
602453,1,30-Dec-2025,2025,Dec,12,1,99110,1401,30,21-30,Overcast,88,4.6,,NW,3,25.2,0,N,N,N
602452,1,30-Dec-2025,2025,Dec,12,8,99110,1336,30,21-30,Overcast,88,4.6,,NW,3,25.2,0,N,N,N
602451,1,30-Dec-2025,2025,Dec,12,13,132120,1215,30,21-30,Overcast,88,4.6,,NW,3,25.2,0,N,N,N
602450,1,30-Dec-2025,2025,Dec,12,1,132120,1301,27,21-30,Clear,96,4.6,,NW,7,21.6,0,N,N,N
602449,1,30-Dec-2025,2025,Dec,12,1,132120,1402,28.9,21-30,Overcast,89,6.9,,WNW,5,21.9,0,N,N,N
602448,1,30-Dec-2025,2025,Dec,12,13,87110,1224,28.9,21-30,Overcast,89,6.9,,WNW,5,21.9,0,N,N,N
602447,1,30-Dec-2025,2025,Dec,12,7,147160,1212,28.9,21-30,Overcast,89,6.9,,WNW,5,21.9,0,N,N,N
602446,1,30-Dec-2025,2025,Dec,12,1,99110,1401,,,Clear,,,,,7,,0,N,N,N
602445,1,30-Dec-2025,2025,Dec,12,7,147160,1301,27,21-30,Clear,96,4.6,,NW,7,21.6,0,N,N,N
602443,1,30-Dec-2025,2025,Dec,12,1,99110,1224,27,21-30,Clear,96,4.6,,NW,7,21.6,0,N,N,N
602444,1,30-Dec-2025,2025,Dec,12,1,87110,1401,,,Clear,,,,,7,,0,N,N,N
602442,1,30-Dec-2025,2025,Dec,12,1,132120,1402,28.9,21-30,Overcast,89,6.9,,WNW,5,21.9,0,N,N,N
602441,1,30-Dec-2025,2025,Dec,12,1,132120,1401,28.9,21-30,Overcast,89,6.9,,WNW,5,21.9,0,N,N,N
602439,1,30-Dec-2025,2025,Dec,12,1,132120,1224,27,21-30,Clear,96,4.6,,NW,7,21.6,0,N,N,N
602440,1,30-Dec-2025,2025,Dec,12,1,99110,1336,28.9,21-30,Overcast,89,6.9,,WNW,5,21.9,0,N,N,N
602437,1,30-Dec-2025,2025,Dec,12,5,132120,1402,28.9,21-30,Overcast,89,6.9,,WNW,5,21.9,0,N,N,N
602438,1,30-Dec-2025,2025,Dec,12,1,147160,1402,28.9,21-30,Overcast,89,6.9,,WNW,5,21.9,0,N,N,N
602436,1,30-Dec-2025,2025,Dec,12,6,99110,1401,,,Clear,,,,,7,,0,N,N,N
602435,1,30-Dec-2025,2025,Dec,12,5,147160,1215,28.9,21-30,Overcast,89,6.9,,WNW,5,21.9,0,N,N,N
602434,1,30-Dec-2025,2025,Dec,12,1,147160,1402,,,Clear,,,,,7,,0,N,N,N
602433,1,30-Dec-2025,2025,Dec,12,8,87110,1336,,,Clear,,,,,7,,0,N,N,N
602432,1,30-Dec-2025,2025,Dec,12,1,147160,1288,27,21-30,Clear,100,0,,North,7,,0,N,N,N
602430,1,30-Dec-2025,2025,Dec,12,1,132120,1217,27,21-30,Clear,100,0,,North,7,,0,N,N,N
602431,1,30-Dec-2025,2025,Dec,12,1,99110,1401,,,Clear,,,,,7,,0,N,N,N
602429,1,30-Dec-2025,2025,Dec,12,1,132120,1301,28.9,21-30,Overcast,89,4.6,,NNW,7,23.9,0,N,N,N
602428,1,30-Dec-2025,2025,Dec,12,8,99110,1402,28.9,21-30,Overcast,89,4.6,,NNW,7,23.9,0,N,N,N
602427,1,30-Dec-2025,2025,Dec,12,23,99110,1217,,,Clear,,,,,7,,0,N,N,N
602426,1,30-Dec-2025,2025,Dec,12,1,87110,1224,27,21-30,Clear,100,0,,North,7,,0,N,N,N
602425,1,30-Dec-2025,2025,Dec,12,5,99110,1301,28.9,21-30,Overcast,89,4.6,,NNW,7,23.9,0,N,N,N
602424,1,30-Dec-2025,2025,Dec,12,16,99110,1224,28.9,21-30,Overcast,89,4.6,,NNW,7,23.9,0,N,N,N
602423,1,30-Dec-2025,2025,Dec,12,1,99110,1224,27,21-30,Clear,100,0,,North,7,,0,N,N,N
602422,1,30-Dec-2025,2025,Dec,12,1,87110,1401,28.9,21-30,Overcast,89,4.6,,NNW,7,23.9,0,N,N,N
602421,1,30-Dec-2025,2025,Dec,12,8,147160,1288,27,21-30,Clear,100,0,,North,7,,0,N,N,N
602419,1,30-Dec-2025,2025,Dec,12,5,26151,1402,28,21-30,Overcast,88,5.8,,NNW,8,21.7,0,N,N,N
602420,1,30-Dec-2025,2025,Dec,12,1,132120,1301,28,21-30,Overcast,88,5.8,,NNW,8,21.7,0,N,N,N
602418,1,30-Dec-2025,2025,Dec,12,1,26151,1401,,,Clear,,,,,7,,0,N,N,N
602417,1,30-Dec-2025,2025,Dec,12,1,147160,1224,27,21-30,Clear,96,3.5,,North,7,23,0,N,N,N
602415,1,30-Dec-2025,2025,Dec,12,1,147160,1215,28,21-30,Overcast,88,5.8,,NNW,8,21.7,0,N,N,N
602416,1,30-Dec-2025,2025,Dec,12,5,99110,1215,27,21-30,Clear,96,3.5,,North,7,23,0,N,N,N
602414,1,30-Dec-2025,2025,Dec,12,1,99110,1288,27,21-30,Clear,96,3.5,,North,7,23,0,N,N,N
602413,1,30-Dec-2025,2025,Dec,12,1,99110,1222,28,21-30,Overcast,88,5.8,,NNW,8,21.7,0,N,N,N
602412,1,30-Dec-2025,2025,Dec,12,1,99110,1224,28,21-30,Overcast,88,5.8,,NNW,8,21.7,0,N,N,N
602411,1,30-Dec-2025,2025,Dec,12,1,132120,1215,28,21-30,Overcast,88,5.8,,NNW,8,21.7,0,N,N,N
602410,1,30-Dec-2025,2025,Dec,12,5,99110,1288,27,21-30,Clear,96,3.5,,North,7,23,0,N,N,N
602409,1,30-Dec-2025,2025,Dec,12,1,99110,1222,,,Clear,,,,,7,,0,N,N,N
602408,1,30-Dec-2025,2025,Dec,12,1,99110,1288,27,21-30,Clear,96,3.5,,North,7,23,0,N,N,N
602407,1,30-Dec-2025,2025,Dec,12,7,99110,1288,27,21-30,Clear,96,3.5,,North,7,23,0,N,N,N
602406,1,30-Dec-2025,2025,Dec,12,1,132120,1401,,,Clear,,,,,7,,0,N,N,N
602404,1,30-Dec-2025,2025,Dec,12,1,99110,1215,,,Clear,,,,,7,,0,N,N,N
602405,1,30-Dec-2025,2025,Dec,12,1,132120,1224,27,21-30,Overcast,89,4.6,,Variable,10,21.6,0,N,N,N
602403,1,30-Dec-2025,2025,Dec,12,1,99110,1215,,,Clear,,,,,7,,0,N,N,N
602402,1,30-Dec-2025,2025,Dec,12,1,99110,1301,26.1,21-30,Clear,96,4.6,,ENE,7,20.5,0,N,N,N
602401,1,30-Dec-2025,2025,Dec,12,1,99110,1336,27,21-30,Overcast,89,4.6,,Variable,10,21.6,0,N,N,N
602400,1,30-Dec-2025,2025,Dec,12,21,132120,1215,26.1,21-30,Clear,96,4.6,,ENE,7,20.5,0,N,N,N
602399,1,30-Dec-2025,2025,Dec,12,1,99110,1215,27,21-30,Overcast,89,4.6,,Variable,10,21.6,0,N,N,N
602398,1,30-Dec-2025,2025,Dec,12,1,99110,1401,,,Clear,,,,,7,,0,N,N,N
602397,1,30-Dec-2025,2025,Dec,12,1,99110,1224,27,21-30,Overcast,89,4.6,,Variable,10,21.6,0,N,N,N
602396,1,30-Dec-2025,2025,Dec,12,6,99110,1217,26.1,21-30,Clear,96,4.6,,ENE,7,20.5,0,N,N,N
602395,1,30-Dec-2025,2025,Dec,12,6,99110,1336,27,21-30,Overcast,89,4.6,,Variable,10,21.6,0,N,N,N
602394,1,30-Dec-2025,2025,Dec,12,1,99110,1217,26.1,21-30,Clear,96,4.6,,ENE,7,20.5,0,N,N,N
602393,1,30-Dec-2025,2025,Dec,12,3,87110,1402,,,Clear,,,,,7,,0,N,N,N
602392,1,30-Dec-2025,2025,Dec,12,1,99110,1288,,,Clear,,,,,7,,0,N,N,N
602391,1,30-Dec-2025,2025,Dec,12,1,99110,1288,25,21-30,Clear,96,0,,North,7,,0,N,N,N
602390,1,30-Dec-2025,2025,Dec,12,16,99110,1301,27,21-30,Overcast,89,4.6,,North,10,21.6,0,N,N,N
602389,1,30-Dec-2025,2025,Dec,12,1,99110,1402,,,Clear,,,,,7,,0,N,N,N
602387,1,30-Dec-2025,2025,Dec,12,1,99110,1402,27,21-30,Overcast,89,4.6,,North,10,21.6,0,N,N,N
602388,1,30-Dec-2025,2025,Dec,12,1,132120,1224,25,21-30,Clear,96,0,,North,7,,0,N,N,N
602384,1,30-Dec-2025,2025,Dec,12,6,132120,1217,25,21-30,Clear,96,0,,North,7,,0,N,N,N
602385,1,30-Dec-2025,2025,Dec,12,1,147160,1301,26.6,21-30,Overcast,93,3.5,,North,10,22.6,0,N,N,N
602386,1,30-Dec-2025,2025,Dec,12,7,99110,1301,26.6,21-30,Overcast,93,3.5,,North,10,22.6,0,N,N,N
602383,1,30-Dec-2025,2025,Dec,12,2,99110,1301,26.6,21-30,Overcast,93,3.5,,North,10,22.6,0,N,N,N
602382,1,30-Dec-2025,2025,Dec,12,1,99110,1288,25,21-30,Clear,96,0,,North,7,,0,N,N,N
602381,1,30-Dec-2025,2025,Dec,12,4,99110,1288,25,21-30,Clear,96,0,,North,7,,0,N,N,N
602380,1,30-Dec-2025,2025,Dec,12,1,99110,1301,26.6,21-30,Overcast,93,3.5,,North,10,22.6,0,N,N,N
602378,1,30-Dec-2025,2025,Dec,12,3,99110,1336,26.6,21-30,Overcast,93,3.5,,North,10,22.6,0,N,N,N
602379,1,30-Dec-2025,2025,Dec,12,3,87110,1402,,,Clear,,,,,7,,0,N,N,N
602377,1,30-Dec-2025,2025,Dec,12,1,99110,1301,26.6,21-30,Overcast,93,3.5,,North,10,22.6,0,N,N,N
602376,1,30-Dec-2025,2025,Dec,12,3,99110,1217,,,Clear,,,,,7,,0,N,N,N
602375,1,30-Dec-2025,2025,Dec,12,21,132120,1212,26.6,21-30,Overcast,93,3.5,,North,10,22.6,0,N,N,N
602374,1,30-Dec-2025,2025,Dec,12,3,87110,1217,,,Clear,,,,,7,,0,N,N,N
602373,1,30-Dec-2025,2025,Dec,12,1,99110,1301,,,Clear,,,,,7,,0,N,N,N
602371,1,30-Dec-2025,2025,Dec,12,3,87110,1401,,,Clear,,,,,7,,0,N,N,N
602372,1,30-Dec-2025,2025,Dec,12,3,87110,1288,,,Clear,,,,,7,,0,N,N,N
602370,1,30-Dec-2025,2025,Dec,12,3,87110,1222,,,Clear,,,,,7,,0,N,N,N
602369,1,30-Dec-2025,2025,Dec,12,7,99110,1288,25,21-30,Clear,92,5.8,,NNW,7,18.1,0,N,N,N
602368,1,30-Dec-2025,2025,Dec,12,4,147160,1288,25,21-30,Clear,92,5.8,,NNW,7,18.1,0,N,N,N
602367,1,30-Dec-2025,2025,Dec,12,8,132120,1401,,,Clear,,,,,7,,0,N,N,N
602366,1,30-Dec-2025,2025,Dec,12,1,99110,1301,26.1,21-30,Overcast,88,5.8,,NNW,10,19.4,0,N,N,N
602365,1,30-Dec-2025,2025,Dec,12,1,99110,1402,26.1,21-30,Overcast,88,5.8,,NNW,10,19.4,0,N,N,N
602364,1,30-Dec-2025,2025,Dec,12,5,132120,1222,26.1,21-30,Overcast,88,5.8,,NNW,10,19.4,0,N,N,N
602363,1,30-Dec-2025,2025,Dec,12,1,99110,1224,25,21-30,Clear,92,5.8,,NNW,7,18.1,0,N,N,N
602362,1,30-Dec-2025,2025,Dec,12,1,99110,1224,,,Clear,,,,,7,,0,N,N,N
602361,1,30-Dec-2025,2025,Dec,12,1,147160,1215,26.1,21-30,Overcast,88,5.8,,NNW,10,19.4,0,N,N,N
602360,1,30-Dec-2025,2025,Dec,12,1,99110,1402,26.1,21-30,Overcast,88,5.8,,NNW,10,19.4,0,N,N,N
